City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Rostovka,RU,2021-04-21 17:47:19,55.3842,71.8891,30.72,68,12,7.9
88,Bereda,ES,2021-04-21 17:47:20,43.2686,-7.5406,55.0,95,100,8.99
89,Gat,IL,2021-04-21 17:47:20,31.61,34.7642,66.99,5,100,1.99
90,Los Llanos De Aridane,ES,2021-04-21 17:47:21,28.6585,-17.9182,71.6,64,75,6.91
91,Jacareacanga,BR,2021-04-21 17:47:21,-6.2222,-57.7528,80.01,91,99,3.6
92,Marrakesh,MA,2021-04-21 17:42:52,31.6315,-8.0083,80.6,29,0,6.91
93,Velyka Bahachka,UA,2021-04-21 17:47:21,49.7912,33.7226,45.36,79,56,6.42
94,Curitibanos,BR,2021-04-21 17:47:22,-27.2828,-50.5844,61.59,73,78,4.5
95,Oistins,BB,2021-04-21 17:46:18,13.0667,-59.5333,84.2,54,40,20.71
96,Morant Bay,JM,2021-04-21 17:47:22,17.8815,-76.4093,88.0,66,20,25.32
97,Rafaela,AR,2021-04-21 17:47:23,-31.2503,-61.4867,70.0,58,78,5.01
98,Ostersund,SE,2021-04-21 17:47:23,63.1792,14.6357,35.6,69,75,14.97
99,Camana,PE,2021-04-21 17:47:24,-16.6228,-72.7111,73.17,72,34,10.22
100,Ponta Do Sol,PT,2021-04-21 17:44:56,32.6667,-17.1,68.0,66,86,5.01
101,Souillac,MU,2021-04-21 17:47:24,-20.5167,57.5167,77.0,88,75,4.61
102,Chapais,CA,2021-04-21 17:47:24,49.7834,-74.8492,21.2,58,90,8.05
103,Uzunovo,RU,2021-04-21 17:47:25,54.5386,38.6173,38.01,93,100,7.9
104,Tabory,RU,2021-04-21 17:47:25,58.5198,64.5495,37.98,82,29,5.28
105,Puerto Rico,AR,2021-04-21 17:47:25,-26.796,-55.024,86.7,27,0,3.98
106,Tazovskiy,RU,2021-04-21 17:47:26,67.4667,78.7,21.0,95,98,12.17
107,Bengkulu,ID,2021-04-21 17:47:26,-3.8004,102.2655,75.58,91,93,4.36
108,Sisimiut,GL,2021-04-21 17:47:27,66.9395,-53.6735,32.88,69,10,4.45
109,Ipora,BR,2021-04-21 17:47:27,-16.4419,-51.1178,83.89,33,0,5.93
110,Maposeni,TZ,2021-04-21 17:47:27,-10.5833,35.4,71.6,88,40,3.44
111,Makat,KZ,2021-04-21 17:44:55,47.6469,53.3463,54.93,22,100,24.25
112,Hashtgerd,IR,2021-04-21 17:47:28,35.9642,50.6858,82.4,12,40,6.91
113,Port Hawkesbury,CA,2021-04-21 17:47:28,45.6169,-61.3485,62.6,39,1,18.41
114,Ibra,OM,2021-04-21 17:47:28,22.6906,58.5334,80.92,33,0,3.8
115,Praia Da Vitoria,PT,2021-04-21 17:45:32,38.7333,-27.0667,63.0,94,75,25.48
116,Mapiripan,CO,2021-04-21 17:47:29,2.8892,-72.1256,87.58,56,75,4.43
117,Axim,GH,2021-04-21 17:47:29,4.8699,-2.2405,83.16,76,78,10.4
118,Standerton,ZA,2021-04-21 17:47:30,-26.9337,29.2415,57.99,75,20,3.36
119,Guaratinga,BR,2021-04-21 17:47:30,-16.5667,-39.5667,82.4,69,75,8.05
120,Yining,CN,2021-04-21 17:47:30,29.0361,114.5636,67.73,97,91,2.51
121,Uni,RU,2021-04-21 17:47:31,57.7535,51.4923,42.37,55,100,17.43
122,Mecca,SA,2021-04-21 17:45:56,21.4267,39.8261,89.56,32,0,4.76
123,Georgetown,MY,2021-04-21 17:47:31,5.4112,100.3354,82.4,89,40,2.3
124,Porbandar,IN,2021-04-21 17:47:31,21.6422,69.6093,80.8,75,55,11.68
125,Okhtyrka,UA,2021-04-21 17:47:32,50.3104,34.8988,44.22,84,76,3.36
126,Sherbrooke,CA,2021-04-21 17:44:36,45.4001,-71.8991,33.8,93,100,4.61
127,Cockburn Town,TC,2021-04-21 17:44:42,21.4612,-71.1419,82.4,65,40,11.5
128,Inirida,CO,2021-04-21 17:47:32,3.8653,-67.9239,90.21,53,47,3.71
129,Bodmin,GB,2021-04-21 17:47:33,50.4715,-4.7243,57.2,58,0,14.97
130,Vardo,NO,2021-04-21 17:47:33,70.3705,31.1107,42.8,56,0,16.11
131,Tamandare,BR,2021-04-21 17:47:33,-8.7597,-35.1047,83.48,67,67,9.4
132,Veliki Trnovac,RS,2021-04-21 17:47:34,42.4767,21.7405,55.4,54,20,3.44
133,Gopalur,IN,2021-04-21 17:47:34,16.6167,77.8,88.12,39,96,13.78
134,Bambous Virieux,MU,2021-04-21 17:47:35,-20.3428,57.7575,77.0,88,75,4.61
135,Khatra,IN,2021-04-21 17:47:35,22.9833,86.85,85.28,53,79,9.86
136,Alytus,LT,2021-04-21 17:47:35,54.4,24.05,55.4,38,0,9.22
137,Birin,NP,2021-04-21 17:47:36,26.8865,88.0718,62.94,49,100,6.04
138,Saint-Louis,SN,2021-04-21 17:47:36,16.3333,-15.0,105.8,14,0,2.3
