City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Salinopolis,BR,-0.6136,-47.3561,79.16,83,89,6.73,overcast clouds
140,Muros,ES,42.7762,-9.0603,57.0,94,100,3.0,overcast clouds
141,Misratah,LY,32.3754,15.0925,65.37,62,4,21.54,clear sky
142,Semey,KZ,50.4111,80.2275,32.16,70,63,7.16,broken clouds
143,Tasiilaq,GL,65.6145,-37.6368,30.2,47,20,13.8,few clouds
144,Sorland,NO,67.667,12.6934,32.0,86,40,3.44,scattered clouds
145,Le Port,RE,-20.9373,55.2919,78.8,73,75,16.11,light rain
146,Methana,GR,37.5823,23.3914,61.0,61,46,8.01,scattered clouds
147,Doka,SD,13.5167,35.7667,97.09,15,50,3.18,scattered clouds
148,Lixourion,GR,38.2019,20.4314,55.56,64,83,0.54,broken clouds
149,Aksu,CN,41.1231,80.2644,58.84,42,91,2.71,overcast clouds
150,Carnarvon,AU,-24.8667,113.6333,62.6,88,12,8.05,few clouds
151,Calarasi,MD,47.2544,28.3081,52.0,62,0,2.3,clear sky
152,Hithadhoo,MV,-0.6,73.0833,82.54,67,8,5.08,clear sky
153,Kingston,JM,17.997,-76.7936,87.01,70,20,28.77,few clouds
154,Boca Do Acre,BR,-8.7522,-67.3978,81.46,87,81,1.9,moderate rain
155,Liverpool,GB,53.4106,-2.9779,53.6,54,90,9.22,overcast clouds
156,Camana,PE,-16.6228,-72.7111,72.7,75,58,9.64,broken clouds
157,Chimbote,PE,-9.0853,-78.5783,72.36,75,15,11.03,few clouds
158,Alta Floresta,BR,-9.8756,-56.0861,87.8,66,75,8.05,broken clouds
159,Kalmar,SE,56.6616,16.3616,45.0,53,5,11.5,clear sky
160,Nikel,RU,69.4128,30.222,41.0,52,0,2.3,clear sky
161,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,73,40,6.91,scattered clouds
162,Nouadhibou,MR,20.931,-17.0347,68.0,73,0,24.16,clear sky
163,Lebu,CL,-37.6167,-73.65,56.08,78,56,17.31,broken clouds
164,Fillan,NO,63.6064,8.9696,37.4,75,75,12.66,broken clouds
165,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,20,11.5,few clouds
166,Gaoua,BF,10.2992,-3.2508,86.94,47,99,6.42,overcast clouds
167,Honningsvag,NO,70.9821,25.9704,37.4,75,40,13.8,scattered clouds
168,San Martin,AR,-33.081,-68.4681,59.0,72,75,2.3,broken clouds
169,Beloha,MG,-25.1667,45.05,69.84,81,5,15.52,clear sky
170,Beyneu,KZ,45.3167,55.2,51.01,37,98,22.15,overcast clouds
171,Yushala,RU,57.0761,64.2601,39.2,65,0,4.47,clear sky
172,Casablanca,MA,33.5928,-7.6192,64.4,68,40,9.22,scattered clouds
173,Kruisfontein,ZA,-34.0033,24.7314,63.0,95,98,1.99,overcast clouds
174,Matagami,CA,49.7502,-77.6328,23.0,58,75,10.36,broken clouds
175,Arica,CL,-18.475,-70.3042,71.6,60,0,10.36,clear sky
176,Manoel Urbano,BR,-8.8389,-69.2597,82.26,83,11,3.13,few clouds
177,Byumba,RW,-1.5763,30.0675,66.2,88,40,2.3,scattered clouds
178,Scarsdale,US,41.0051,-73.7846,53.01,81,75,19.57,broken clouds
179,Teguldet,RU,57.3064,88.1667,18.03,94,82,4.47,broken clouds
180,Komsomolskiy,UZ,40.4272,71.7189,50.0,66,75,6.91,broken clouds
181,Taybad,IR,34.74,60.7756,66.85,37,6,13.0,clear sky
182,Vila Velha,BR,-20.3297,-40.2925,82.99,69,20,8.05,few clouds
183,Leh,IN,34.1667,77.5833,31.19,93,100,5.28,snow
184,Corrente,BR,-3.7367,-43.3394,82.09,76,67,0.78,broken clouds
185,Guipavas,FR,48.4352,-4.3972,55.4,87,88,6.91,mist
186,Mezen,RU,65.8522,44.24,46.72,49,100,11.92,overcast clouds
187,Lakhtar,IN,22.85,71.7833,84.36,42,0,8.61,clear sky
188,Belmonte,BR,-15.8631,-38.8828,78.8,78,75,6.91,broken clouds
189,Lozovo,MK,41.7839,21.9056,44.6,81,0,3.44,clear sky
190,Saint Austell,GB,50.3383,-4.7658,51.8,66,0,11.5,clear sky
191,Barrinha,BR,-21.1936,-48.1639,82.4,32,0,3.44,clear sky
192,Cape Coast,GH,5.1053,-1.2466,82.58,82,76,14.0,broken clouds
193,Deder,ET,9.3167,41.45,58.51,69,80,3.06,broken clouds
194,Mahon,ES,39.8885,4.2658,57.2,82,75,10.36,broken clouds
195,Rovaniemi,FI,66.5,25.7167,41.0,38,0,3.44,clear sky
196,Beitbridge,ZW,-22.2167,30.0,67.55,53,0,6.51,clear sky
197,Ilhabela,BR,-23.7781,-45.3581,71.56,83,36,5.57,scattered clouds
