City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Manoel Urbano,BR,82.26,few clouds,-8.8389,-69.2597,Baixada Beira Rio
182,Vila Velha,BR,82.99,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
184,Corrente,BR,82.09,broken clouds,-3.7367,-43.3394,Chapadinhense Hotel
187,Lakhtar,IN,84.36,clear sky,22.85,71.7833,Firdaus Society
188,Belmonte,BR,78.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
191,Barrinha,BR,82.4,clear sky,-21.1936,-48.1639,Fazendinha resort From Barry
192,Cape Coast,GH,82.58,broken clouds,5.1053,-1.2466,Samrit Hotel
199,Port Blair,IN,80.87,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
203,Takoradi,GH,82.33,few clouds,4.8845,-1.7554,Raybow International Hotel
209,Aguas De Lindoia,BR,78.01,clear sky,-22.4764,-46.6328,Plazza Hotel
213,Salvador,SV,87.8,few clouds,13.8333,-88.9167,Chico's Ranch
215,Dingle,PH,77.77,light rain,10.9995,122.6711,SEGAYA PROPERTY
220,Atraulia,IN,81.82,overcast clouds,26.3333,82.95,ShivKunj
227,Catamarca,AR,77.0,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
228,Miranda,CO,87.8,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
231,Campoverde,PE,89.6,few clouds,-8.4753,-74.8058,Hospedaje Coral's
232,Bam,IR,79.56,scattered clouds,29.106,58.357,Bam Tourist Hotel
235,Bubaque,GW,78.3,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
236,San Pedro,PH,82.4,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
237,Acarau,BR,80.31,overcast clouds,-2.8856,-40.12,castelo pizzaria
238,Urubicha,BO,85.86,light rain,-15.3833,-62.95,
239,Luba,GQ,80.6,few clouds,3.4568,8.5547,
240,Tessalit,ML,87.66,overcast clouds,20.1986,1.0114,
243,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
247,Sur,OM,85.39,clear sky,22.5667,59.5289,Sur Plaza Hotel
252,Chabahar,IR,80.85,clear sky,25.2919,60.643,هتل گدروشیا
254,Panama City,PA,89.6,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
259,Hobyo,SO,84.47,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
265,Umm Kaddadah,SD,86.95,clear sky,13.6017,26.6876,
267,Manaure,CO,89.38,overcast clouds,11.7751,-72.4445,Hotel Palaaima
270,Sawakin,SD,83.44,clear sky,19.1059,37.3321,فندق الدويم
271,Mihona,IN,80.22,overcast clouds,26.2844,78.9817,Lala boys
